Order_ID,Order_Date,Customer_ID,Customer_Age,Gender,Region,Product_Name,Category,Quantity,Unit_Price,Discount_Percent,Sales_Amount,Cost_Amount,Profit,Payment_Method,Order_Status
ORD1001,2025-03-13,CUST854,24,Male,Sylhet,Wireless Mouse,Electronics,1,6274,10,5646.6,3865.54,1781.06,Card,Delivered
ORD1002,2025-01-14,CUST674,30,Female,Chattogram,Bluetooth Headphones,Accessories,1,1991,5,1891.45,1366.71,524.74,Card,Returned
ORD1003,2025-06-24,CUST384,27,Male,Khulna,Wireless Mouse,Electronics,3,6416,5,18285.6,14214.6,4071.0,COD,Delivered
ORD1004,2026-02-18,CUST144,47,Male,Rajshahi,Bluetooth Headphones,Accessories,4,3140,10,11304.0,8955.36,2348.64,COD,Returned
ORD1005,2025-12-27,CUST171,20,Male,Khulna,Webcam,Camera,3,7453,10,20123.1,15782.88,4340.22,COD,Delivered
ORD1006,2025-07-06,CUST266,41,Female,Chattogram,Phone Case,Mobile,1,2477,15,2105.45,1787.49,317.96,Nagad,Cancelled
ORD1007,2025-05-06,CUST267,47,Female,Khulna,Webcam,Camera,1,5401,5,5130.95,3749.47,1381.48,bKash,Cancelled
ORD1008,2025-07-25,CUST374,22,Male,Sylhet,Wireless Mouse,Electronics,3,2076,0,6228.0,4779.13,1448.87,Nagad,Delivered
ORD1009,2025-03-13,CUST352,53,Female,Barishal,Phone Case,Mobile,4,7447,15,25319.8,17532.48,7787.32,Card,Returned
ORD1010,2025-02-16,CUST873,21,Male,Chattogram,Gaming Keyboard,Gaming,4,1996,5,7584.8,5489.58,2095.22,bKash,Cancelled
ORD1011,2025-08-28,CUST641,34,Male,Barishal,Webcam,Camera,4,720,15,2448.0,1880.75,567.25,COD,Cancelled
ORD1012,2025-08-11,CUST261,47,Male,Barishal,Smart Watch,Wearables,5,6496,10,29232.0,18842.27,10389.73,Nagad,Returned
ORD1013,2025-06-02,CUST961,58,Male,Chattogram,Power Bank,Power,2,7676,0,15352.0,12051.93,3300.07,Nagad,Delivered
ORD1014,2025-09-08,CUST119,25,Female,Khulna,Power Bank,Power,5,7724,0,38620.0,27486.43,11133.57,bKash,Delivered
ORD1015,2025-09-06,CUST935,22,Male,Chattogram,Webcam,Camera,2,7957,0,15914.0,9120.73,6793.27,Card,Returned
